account,destination,asset,amount,transaction_hash
GBAALEQCWVLY6JO6MO55WETEA3PPFMCNTLONOVPBFNKPFYI7H3KLNU6Q,GBAALEQCWVLY6JO6MO55WETEA3PPFMCNTLONOVPBFNKPFYI7H3KLNU6Q,USDC,2608.8843883,c54950af9d2d5bd8d435013092240674672ef5a128f8a7c8e456b716e052795a
GAUNQMIH6WOF7CRZWBTHIU4EZFOQEJSJE4PGXY673EFRCJKEQEXNNRPK,GAUNQMIH6WOF7CRZWBTHIU4EZFOQEJSJE4PGXY673EFRCJKEQEXNNRPK,USDC,2544.4557555,204837161d67954b100fcbb705e17f1bbfa24e0786f0fa360b761b38226e5ede
GD2OKD73SK7OHBSJNOMJ3TFZ6HVSXSEQCZGA5NCWGWDOO6QCB277PQ2Q,GD2OKD73SK7OHBSJNOMJ3TFZ6HVSXSEQCZGA5NCWGWDOO6QCB277PQ2Q,USDC,2526.1752559,58d3a529e4667b2f103d191169b3c5cdcb2ff78a2b5fc898f4358d0f9557187c
GBVNOTDHHV7IO7HLEYVYMU257QFHVXXCGN7GIDE55ZBP5C4TBOIXVCD3,GBVNOTDHHV7IO7HLEYVYMU257QFHVXXCGN7GIDE55ZBP5C4TBOIXVCD3,USDC,2472.5164236,7c022ae866a0901bcb96f98850a8d165c314d1fdaab5ecb22c17a04f1f066e4b
GCPIKUGS2RNSH6HAKUSIDBAVHC62QMDFUNXUTET4Q3YDDCUO5B3F7D45,GCPIKUGS2RNSH6HAKUSIDBAVHC62QMDFUNXUTET4Q3YDDCUO5B3F7D45,USDC,2434.4855086,7dee3d6b3b3c608347132c29db4d207cb837653e7787188178db0e43f7571778
GAGRWJ4AHWFYW637FEOWTRNGHQ4UXPXIALLV6FJDVKGQ2HWHEVT4XH7P,GAGRWJ4AHWFYW637FEOWTRNGHQ4UXPXIALLV6FJDVKGQ2HWHEVT4XH7P,USDC,2422.7107947,aa68b186652ec565ff8bcbb1c96d840a09753beaf94bd4ec91a4e1132e21e628
GCQEFBTWQMZMKS2PAFUKQN7QE5YQ4SFSU5PTRAV7WETVT6LNKDE5ARA7,GCQEFBTWQMZMKS2PAFUKQN7QE5YQ4SFSU5PTRAV7WETVT6LNKDE5ARA7,USDC,2314.9472988,81797e7f2b04f7378fa44136fde958b90221b02c2b5ae46a757c5f9c4c9decac
GBH77UXSBGEIQDAJRE74N3QL3R2DQ3YGCQNJG6KEICW64QQGCOAAZZ2C,GBH77UXSBGEIQDAJRE74N3QL3R2DQ3YGCQNJG6KEICW64QQGCOAAZZ2C,USDC,2289.7830934,211bb04c45e0f858c2948fe5e70edd42536a5b5bc66dec1d887e28a4f4ee209f
GASDW6ZAHBF2O6SUZIPRPFTA2M3SN6YTPEOHAXJC2KRXIXAI7QJYKGJZ,GASDW6ZAHBF2O6SUZIPRPFTA2M3SN6YTPEOHAXJC2KRXIXAI7QJYKGJZ,USDC,2148.6252170,185a6fb46c6d007207f6ab20490f27597114fe9c47d6bdb493a213f6f0a8839f
GAGCFJNK7ETAKASG3WPPYEDHAKGUWA5NJSW7RHPX3RIJPZSPIN2XGLI3,GAGCFJNK7ETAKASG3WPPYEDHAKGUWA5NJSW7RHPX3RIJPZSPIN2XGLI3,USDC,2101.4614199,29e5c7647a82912c63006a0324c6ea73a020f85d4b2c436dad4a5e17138f5f92
